freq,unit,lev_limit,age,sex,geo\TIME_PERIOD	2021 	2022 	2023 	2024 	2025 
A,PC,TOTAL,Y_GE16,F,AL	40.5 	38.1 	37.4 	: 	: 
A,PC,TOTAL,Y_GE16,F,AT	18.0 	18.8 	22.4 	20.8 	: 
A,PC,TOTAL,Y_GE16,F,BE	21.9 	22.7 	21.9 	21.3 	22.0 
A,PC,TOTAL,Y_GE16,F,BG	40.1 	45.6 	49.9 	48.2 	44.6 
A,PC,TOTAL,Y_GE16,F,CH	17.6 	17.1 	18.1 	17.9 	: 
A,PC,TOTAL,Y_GE16,F,CY	41.7 	40.6 	37.9 	35.5 	33.2 
A,PC,TOTAL,Y_GE16,F,CZ	19.0 	18.9 	21.0 	20.6 	19.8 
A,PC,TOTAL,Y_GE16,F,DE	30.9 	31.4 	34.2 e	31.7 	31.5 
A,PC,TOTAL,Y_GE16,F,DK	20.6 	21.1 	23.7 	22.3 b	: 
A,PC,TOTAL,Y_GE16,F,EE	29.9 	34.6 	33.8 	37.0 	38.1 
A,PC,TOTAL,Y_GE16,F,EL	47.7 	45.5 	46.8 	46.4 	51.6 
A,PC,TOTAL,Y_GE16,F,ES	34.0 	35.9 	37.0 	35.6 b	36.5 
A,PC,TOTAL,Y_GE16,F,FI	25.7 	25.4 	28.6 	28.9 	29.1 
A,PC,TOTAL,Y_GE16,F,FR	27.4 	31.4 b	28.9 	29.2 	: 
A,PC,TOTAL,Y_GE16,F,HR	49.6 	47.4 	44.9 b	38.2 	33.9 
A,PC,TOTAL,Y_GE16,F,HU	35.5 	34.7 	32.2 	29.3 	31.0 
A,PC,TOTAL,Y_GE16,F,IE	30.0 	34.4 	35.3 	33.1 	: 
A,PC,TOTAL,Y_GE16,F,IT	33.7 	34.2 	30.6 	30.0 b	26.1 
A,PC,TOTAL,Y_GE16,F,LT	39.9 	43.4 	42.4 	44.6 p	: 
A,PC,TOTAL,Y_GE16,F,LU	19.8 b	18.7 b	: 	: 	: 
A,PC,TOTAL,Y_GE16,F,LV	44.9 	47.6 	49.1 	48.8 	48.2 
A,PC,TOTAL,Y_GE16,F,ME	61.5 	60.5 	: 	: 	: 
A,PC,TOTAL,Y_GE16,F,MK	50.6 b	53.3 	54.5 	: 	: 
A,PC,TOTAL,Y_GE16,F,MT	16.8 	17.0 	15.0 	18.7 	: 
A,PC,TOTAL,Y_GE16,F,NL	16.2 	16.6 	16.0 	16.6 	16.5 
A,PC,TOTAL,Y_GE16,F,NO	23.2 b	22.3 	23.0 	23.2 	21.8 b
A,PC,TOTAL,Y_GE16,F,PL	27.5 	29.8 	29.1 	25.7 	25.3 
A,PC,TOTAL,Y_GE16,F,PT	31.8 	30.8 	31.7 	30.1 b	30.8 
A,PC,TOTAL,Y_GE16,F,RO	47.9 	48.1 	48.1 	41.1 b	39.1 
A,PC,TOTAL,Y_GE16,F,RS	37.9 	37.8 	36.2 	36.9 	: 
A,PC,TOTAL,Y_GE16,F,SE	18.9 	22.0 	21.2 	22.6 	23.3 
A,PC,TOTAL,Y_GE16,F,SI	28.3 	27.4 	26.1 	26.2 	26.7 
A,PC,TOTAL,Y_GE16,F,SK	27.5 	27.7 	29.0 	28.4 	: 
A,PC,TOTAL,Y_GE16,F,TR	32.5 	30.1 	30.7 	25.9 	25.2 
A,PC,TOTAL,Y_GE16,M,AL	39.1 	36.6 	36.2 	: 	: 
A,PC,TOTAL,Y_GE16,M,AT	16.7 	18.5 	20.7 	19.2 	: 
A,PC,TOTAL,Y_GE16,M,BE	19.5 	21.1 	20.1 	19.3 	19.8 
A,PC,TOTAL,Y_GE16,M,BG	34.6 	41.0 	44.8 	43.6 	40.1 
A,PC,TOTAL,Y_GE16,M,CH	15.9 	15.9 	15.9 	17.5 	: 
A,PC,TOTAL,Y_GE16,M,CY	39.0 	37.8 	35.4 	33.6 	30.5 
