freq,unit,lev_limit,age,sex,geo\TIME_PERIOD	2021 	2022 	2023 	2024 	2025 
A,PC,TOTAL,Y_GE16,F,AL	48.0 	45.9 	43.3 	: 	: 
A,PC,TOTAL,Y_GE16,F,AT	17.2 	17.9 	18.1 	17.8 	: 
A,PC,TOTAL,Y_GE16,F,BE	19.6 	19.3 	19.4 	18.7 	16.6 
A,PC,TOTAL,Y_GE16,F,BG	34.8 	35.6 	31.9 	31.6 	30.5 
A,PC,TOTAL,Y_GE16,F,CH	18.9 	20.1 	20.1 	19.4 	: 
A,PC,TOTAL,Y_GE16,F,CY	18.3 	18.8 	19.3 	19.4 	19.7 
A,PC,TOTAL,Y_GE16,F,CZ	11.9 	14.0 	13.7 	12.2 	12.2 
A,PC,TOTAL,Y_GE16,F,DE	22.1 	20.6 	21.9 e	21.8 	21.7 
A,PC,TOTAL,Y_GE16,F,DK	18.9 	18.0 	19.3 	18.9 b	: 
A,PC,TOTAL,Y_GE16,F,EE	26.7 	30.8 	28.7 	27.5 	25.4 
A,PC,TOTAL,Y_GE16,F,EL	28.9 	27.3 	27.3 	27.6 	28.9 
A,PC,TOTAL,Y_GE16,F,ES	28.3 	26.4 	26.5 	25.6 b	25.4 
A,PC,TOTAL,Y_GE16,F,FI	15.0 	18.1 	16.9 	17.4 	17.5 
A,PC,TOTAL,Y_GE16,F,FR	20.1 	21.1 b	20.4 	20.7 	: 
A,PC,TOTAL,Y_GE16,F,HR	23.8 	22.8 	23.8 b	24.4 	23.6 
A,PC,TOTAL,Y_GE16,F,HU	19.3 	19.1 	19.9 	19.6 	20.1 
A,PC,TOTAL,Y_GE16,F,IE	20.1 	21.0 	19.2 	17.3 	: 
A,PC,TOTAL,Y_GE16,F,IT	25.7 	25.6 	24.0 	24.0 b	23.6 
A,PC,TOTAL,Y_GE16,F,LT	27.7 	29.3 	28.7 	28.8 p	: 
A,PC,TOTAL,Y_GE16,F,LU	20.6 b	19.8 b	: 	: 	: 
A,PC,TOTAL,Y_GE16,F,LV	31.4 	31.4 	30.1 	29.0 	30.1 
A,PC,TOTAL,Y_GE16,F,ME	37.7 	34.0 	: 	: 	: 
A,PC,TOTAL,Y_GE16,F,MK	29.0 b	32.0 	29.4 	: 	: 
A,PC,TOTAL,Y_GE16,F,MT	21.8 	21.3 	20.2 	20.5 	: 
A,PC,TOTAL,Y_GE16,F,NL	17.1 	17.5 	15.1 	14.9 	16.5 
