freq,sex,wstatus,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,F,EMP,PC_POP,AT	4.92 	4.96 	4.98 	5.83 
A,F,EMP,PC_POP,BE	5.39 	5.83 	6.26 	5.48 
A,F,EMP,PC_POP,BG	6.65 	6.53 	6.96 	5.91 b
A,F,EMP,PC_POP,CY	6.90 	6.98 	7.78 	7.43 
A,F,EMP,PC_POP,CZ	4.15 	3.70 	4.02 	4.09 
A,F,EMP,PC_POP,DE	4.45 	4.51 	4.59 	4.76 
A,F,EMP,PC_POP,DK	5.30 	5.61 	6.02 b	5.82 
A,F,EMP,PC_POP,EE	9.75 	9.38 	9.49 	8.77 
A,F,EMP,PC_POP,EL	7.36 	6.24 	6.44 	6.62 
A,F,EMP,PC_POP,ES	6.59 d	7.32 d	6.74 d	6.88 d
A,F,EMP,PC_POP,FI	7.34 	6.48 	7.17 	6.10 
A,F,EMP,PC_POP,FR	5.95 d	5.87 d	5.70 d	6.39 d
A,F,EMP,PC_POP,HR	5.47 	4.62 	4.38 	5.55 
A,F,EMP,PC_POP,HU	3.94 	3.90 	3.89 	4.24 
A,F,EMP,PC_POP,IE	7.84 	7.77 	7.59 	9.19 
A,F,EMP,PC_POP,IT	5.06 	5.04 	5.34 	5.36 
A,F,EMP,PC_POP,LT	8.48 	7.75 	8.10 	8.29 
A,F,EMP,PC_POP,LU	6.99 	6.95 	7.25 	6.62 
A,F,EMP,PC_POP,LV	5.50 	4.97 	5.90 	5.66 
A,F,EMP,PC_POP,MT	4.25 	4.00 	4.54 	6.03 
A,F,EMP,PC_POP,NL	3.65 	3.77 	4.11 	4.05 
A,F,EMP,PC_POP,PL	6.43 	6.57 	7.30 	7.41 
A,F,EMP,PC_POP,PT	5.06 	4.99 	4.76 	5.40 
A,F,EMP,PC_POP,RO	5.16 	5.30 	5.07 	5.27 
A,F,EMP,PC_POP,SE	8.62 	8.69 	8.86 	9.25 
A,F,EMP,PC_POP,SI	6.66 	6.90 	5.90 b	5.97 
A,F,EMP,PC_POP,SK	5.53 	5.53 	5.65 	4.74 
A,F,EMP,THS_PER,AT	99.1 	103.4 	105.0 	124.0 
A,F,EMP,THS_PER,BE	122.8 	137.0 	148.3 	130.3 
A,F,EMP,THS_PER,BG	89.1 	90.0 	95.7 	81.3 b
A,F,EMP,THS_PER,CY	14.4 	15.5 	18.1 	17.4 
A,F,EMP,THS_PER,CZ	95.0 	84.3 	89.0 	95.6 
A,F,EMP,THS_PER,DE	848.7 	882.7 	911.9 	949.4 
A,F,EMP,THS_PER,DK	72.0 	79.2 	85.7 b	84.0 
A,F,EMP,THS_PER,EE	31.3 	31.5 	32.9 	30.8 
A,F,EMP,THS_PER,EL	121.9 	109.0 	115.6 	121.7 
A,F,EMP,THS_PER,ES	599.6 d	690.5 d	660.8 d	691.1 d
A,F,EMP,THS_PER,FI	90.2 	82.6 	92.3 	77.3 
A,F,EMP,THS_PER,FR	806.3 d	812.6 d	797.7 d	901.6 d
A,F,EMP,THS_PER,HR	40.1 	34.5 	33.2 	44.1 
A,F,EMP,THS_PER,HU	84.3 	85.0 	85.2 	93.7 
A,F,EMP,THS_PER,IE	88.2 	93.6 	96.0 	118.9 
A,F,EMP,THS_PER,IT	480.6 	490.9 	532.5 	544.7 
A,F,EMP,THS_PER,LT	57.6 	56.1 	58.2 	59.4 
A,F,EMP,THS_PER,LU	9.9 	10.1 	10.8 	10.1 
A,F,EMP,THS_PER,LV	23.7 	22.3 	26.3 	25.2 
A,F,EMP,THS_PER,MT	4.6 	4.7 	5.6 	7.8 
A,F,EMP,THS_PER,NL	159.4 	169.5 	188.9 	187.4 
A,F,EMP,THS_PER,PL	498.5 	515.4 	579.3 	586.9 
A,F,EMP,THS_PER,PT	118.6 	120.4 	118.0 	135.6 
A,F,EMP,THS_PER,RO	166.7 	175.4 	166.4 	176.9 
A,F,EMP,THS_PER,SE	204.5 	212.7 	221.3 	231.1 
A,F,EMP,THS_PER,SI	29.5 	31.0 	26.6 b	27.0 
A,F,EMP,THS_PER,SK	66.4 	67.6 	69.3 	57.9 
A,F,INAC,PC_POP,AT	2.06 	2.03 	2.17 	2.86 
A,F,INAC,PC_POP,BE	2.04 	2.09 	2.11 	2.28 
A,F,INAC,PC_POP,BG	2.67 	2.47 	2.90 	2.83 b
A,F,INAC,PC_POP,CY	2.43 	3.21 	3.71 	3.25 
A,F,INAC,PC_POP,CZ	1.98 	1.85 	1.83 	2.36 
A,F,INAC,PC_POP,DE	2.46 	2.67 	2.84 	3.05 
A,F,INAC,PC_POP,DK	1.87 	1.76 	1.87 b	2.07 
A,F,INAC,PC_POP,EE	6.62 	7.25 	6.45 	5.71 
A,F,INAC,PC_POP,EL	2.33 	1.93 	1.34 	2.18 
A,F,INAC,PC_POP,ES	1.72 d	2.00 d	1.67 d	2.00 d
A,F,INAC,PC_POP,FI	1.93 	2.22 	2.68 	2.78 
A,F,INAC,PC_POP,FR	2.22 d	1.79 d	2.25 d	1.96 d
A,F,INAC,PC_POP,HR	1.63 	1.90 	1.58 	1.46 u
A,F,INAC,PC_POP,HU	1.82 	1.80 	1.82 	1.52 
A,F,INAC,PC_POP,IE	2.43 	2.74 	3.05 	2.76 
A,F,INAC,PC_POP,IT	1.53 	1.59 	1.66 	1.80 
A,F,INAC,PC_POP,LT	4.79 	4.82 	4.85 	4.17 
A,F,INAC,PC_POP,LU	2.87 	2.84 	3.01 u	3.35 u
