freq,unit,age,sex,isced11,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,NR,TOTAL,F,ED5,AL	2185 	2561 	2615 	2558 
A,NR,TOTAL,F,ED5,AT	39989 	40489 	39957 	39649 
A,NR,TOTAL,F,ED5,BA	: m	28 	37 	44 
A,NR,TOTAL,F,ED5,BE	14159 	14283 	15139 	15718 
A,NR,TOTAL,F,ED5,BG	: m	: m	: m	: m
A,NR,TOTAL,F,ED5,CH	2036 	2105 	1886 	1832 
A,NR,TOTAL,F,ED5,CY	1280 	1203 	886 	905 
A,NR,TOTAL,F,ED5,CZ	654 	679 	673 	632 
A,NR,TOTAL,F,ED5,DE	5115 	5235 	4960 	4224 
A,NR,TOTAL,F,ED5,DK	16363 	17286 	15951 	15281 
A,NR,TOTAL,F,ED5,EE	: m	: m	: m	: m
A,NR,TOTAL,F,ED5,EL	: m	: m	: m	: m
A,NR,TOTAL,F,ED5,ES	254697 	270288 	290463 	306006 
A,NR,TOTAL,F,ED5,FI	: m	: m	: m	: m
A,NR,TOTAL,F,ED5,FR	269524 	260858 	239852 	246736 
A,NR,TOTAL,F,ED5,GE	: 	: 	: m	: m
A,NR,TOTAL,F,ED5,HR	1 	1 	1 	8 
A,NR,TOTAL,F,ED5,HU	6694 	6750 	6729 	6221 
A,NR,TOTAL,F,ED5,IE	11815 	10612 	9352 	12139 
A,NR,TOTAL,F,ED5,IS	479 	396 	439 	: 
A,NR,TOTAL,F,ED5,IT	6102 	7571 	8717 	9712 
A,NR,TOTAL,F,ED5,LI	0 	0 	: 	: 
A,NR,TOTAL,F,ED5,LT	: m	: m	2 	6 
A,NR,TOTAL,F,ED5,LU	505 	482 	440 	409 
A,NR,TOTAL,F,ED5,LV	8960 	9425 	8689 	8777 
A,NR,TOTAL,F,ED5,ME	: m	: 	: m	: m
A,NR,TOTAL,F,ED5,MK	: m	: m	: m	: m
A,NR,TOTAL,F,ED5,MT	1639 	1433 	1504 	1574 
A,NR,TOTAL,F,ED5,NL	18401 	22376 	22474 	24472 
A,NR,TOTAL,F,ED5,NO	1966 	2448 	2434 	2686 
A,NR,TOTAL,F,ED5,PL	376 	980 	305 	301 
A,NR,TOTAL,F,ED5,PT	6745 	7015 	7555 	7714 
A,NR,TOTAL,F,ED5,RO	: m	: m	: m	: m
A,NR,TOTAL,F,ED5,RS	: m	: m	: m	: m
A,NR,TOTAL,F,ED5,SE	20313 	21168 	20996 	21312 
A,NR,TOTAL,F,ED5,SI	4065 	4082 	3837 	3641 
A,NR,TOTAL,F,ED5,SK	1565 	1590 	1481 	1429 
A,NR,TOTAL,F,ED5,TR	1608714 	1682677 	1361251 	1494714 
A,NR,TOTAL,F,ED5-8,AL	74821 	73493 	71248 d	70419 
A,NR,TOTAL,F,ED5-8,AT	237796 	239830 	238845 	242725 
A,NR,TOTAL,F,ED5-8,BA	49218 	47670 	46642 	45271 
A,NR,TOTAL,F,ED5-8,BE	303932 	309621 	311113 	312111 
A,NR,TOTAL,F,ED5-8,BG	123328 	125714 	123756 	111893 bd
A,NR,TOTAL,F,ED5-8,CH	169427 	173987 	172145 	173465 
A,NR,TOTAL,F,ED5-8,CY	30073 	31322 	30778 	33894 
A,NR,TOTAL,F,ED5-8,CZ	186580 	192910 	193143 	195721 
A,NR,TOTAL,F,ED5-8,DE	1663614 	1680481 	1681202 	1656534 
A,NR,TOTAL,F,ED5-8,DK	175116 	177179 	171133 	168047 
A,NR,TOTAL,F,ED5-8,EE	26435 	26223 	26156 	26591 
A,NR,TOTAL,F,ED5-8,EL	418034 	433181 	433746 	437218 
A,NR,TOTAL,F,ED5-8,ES	1225632 	1257052 	1304737 	1343837 
A,NR,TOTAL,F,ED5-8,FI	165295 	172407 	180676 	187925 
A,NR,TOTAL,F,ED5-8,FR	1548210 	1597658 	1584295 bd	1602595 
A,NR,TOTAL,F,ED5-8,GE	: 	: 	: d	: d
A,NR,TOTAL,F,ED5-8,HR	92388 	92863 	92083 	90833 
A,NR,TOTAL,F,ED5-8,HU	155183 	160145 	158043 	169838 
A,NR,TOTAL,F,ED5-8,IE	134275 	134541 	133545 	139122 
A,NR,TOTAL,F,ED5-8,IS	14505 	14436 	13388 	: 
A,NR,TOTAL,F,ED5-8,IT	1171941 	1205249 	1250019 	1310317 
A,NR,TOTAL,F,ED5-8,LI	384 	388 	: 	: 
A,NR,TOTAL,F,ED5-8,LT	60867 	60798 	59876 	58253 
A,NR,TOTAL,F,ED5-8,LU	4072 	4138 	4203 	4390 
A,NR,TOTAL,F,ED5-8,LV	44263 	44695 	43437 	43211 
A,NR,TOTAL,F,ED5-8,ME	12689 	: 	12381 	12015 
A,NR,TOTAL,F,ED5-8,MK	32009 	32559 	33618 	33317 
A,NR,TOTAL,F,ED5-8,MT	10839 bd	11054 	12288 	12323 
A,NR,TOTAL,F,ED5-8,NL	523188 e	: 	530206 	521765 
A,NR,TOTAL,F,ED5-8,NO	182085 	187738 	183493 	185801 
A,NR,TOTAL,F,ED5-8,PL	795826 	815096 	806717 	840254 
A,NR,TOTAL,F,ED5-8,PT	216232 	223626 	230157 	232025 
A,NR,TOTAL,F,ED5-8,RO	308222 	307677 	298137 	301564 
A,NR,TOTAL,F,ED5-8,RS	139427 	141371 	145666 	147656 
A,NR,TOTAL,F,ED5-8,SE	296817 	293253 	288055 	300133 
A,NR,TOTAL,F,ED5-8,SI	47702 	47134 	46188 	46731 
A,NR,TOTAL,F,ED5-8,SK	82300 	82474 	80598 	81940 
A,NR,TOTAL,F,ED5-8,TR	4070584 	4124812 	3557478 	3685522 
A,NR,TOTAL,F,ED54,AL	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,AT	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,BA	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,BE	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,BG	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,CH	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,CY	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,CZ	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,DE	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,DK	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,EE	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,EL	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,ES	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,FI	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,FR	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,GE	: 	: 	: m	: m
A,NR,TOTAL,F,ED54,HR	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,HU	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,IE	: d	: d	: d	9294 
A,NR,TOTAL,F,ED54,IS	332 	243 	289 	: 
A,NR,TOTAL,F,ED54,IT	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,LI	0 	0 	: 	: 
A,NR,TOTAL,F,ED54,LT	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,LU	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,LV	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,ME	: m	: 	: m	: m
A,NR,TOTAL,F,ED54,MK	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,MT	731 	688 	825 	797 
A,NR,TOTAL,F,ED54,NL	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,NO	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,PL	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,PT	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,RO	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,RS	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,SE	1702 	1646 	1588 	1553 
A,NR,TOTAL,F,ED54,SI	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,SK	: m	: m	: m	: m
A,NR,TOTAL,F,ED54,TR	: m	: m	: m	: m
A,NR,TOTAL,F,ED55,AL	2185 	2561 d	2615 	2558 
A,NR,TOTAL,F,ED55,AT	39989 	40489 	39957 	39649 
A,NR,TOTAL,F,ED55,BA	: m	28 	37 	44 
A,NR,TOTAL,F,ED55,BE	14159 	14283 d	15139 d	15718 
A,NR,TOTAL,F,ED55,BG	: m	: m	: m	: m
A,NR,TOTAL,F,ED55,CH	2036 	2105 	1886 	1832 
A,NR,TOTAL,F,ED55,CY	1280 	1203 	886 	905 
A,NR,TOTAL,F,ED55,CZ	654 	679 	673 	632 
A,NR,TOTAL,F,ED55,DE	5115 	5235 	4960 	4224 
A,NR,TOTAL,F,ED55,DK	16363 	17286 	15951 	15281 
A,NR,TOTAL,F,ED55,EE	: m	: m	: m	: m
A,NR,TOTAL,F,ED55,EL	: m	: m	: m	: m
A,NR,TOTAL,F,ED55,ES	254697 	270288 	290463 	306006 
A,NR,TOTAL,F,ED55,FI	: m	: m	: m	: m
A,NR,TOTAL,F,ED55,FR	269524 	260858 	239852 	246736 
A,NR,TOTAL,F,ED55,GE	: 	: 	: m	: m
A,NR,TOTAL,F,ED55,HR	1 	1 	1 	8 
A,NR,TOTAL,F,ED55,HU	6694 	6750 	6729 	6221 
A,NR,TOTAL,F,ED55,IE	: d	: d	: d	: d
A,NR,TOTAL,F,ED55,IS	147 	153 	150 	: 
A,NR,TOTAL,F,ED55,IT	6102 	7571 	8717 	9712 
A,NR,TOTAL,F,ED55,LI	0 	0 	: 	: 
A,NR,TOTAL,F,ED55,LT	: m	: m	2 	6 
A,NR,TOTAL,F,ED55,LU	505 	482 	440 	409 
A,NR,TOTAL,F,ED55,LV	8960 	9425 	8689 	8777 
A,NR,TOTAL,F,ED55,ME	: m	: 	: m	: m
A,NR,TOTAL,F,ED55,MK	: m	: m	: m	: m
A,NR,TOTAL,F,ED55,MT	908 	746 	678 	778 
A,NR,TOTAL,F,ED55,NL	18401 	22376 	22474 	24472 
