freq,prof_pos,sex,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,NEXEC,F,PC,AT	34.6 	33.2 	33.6 	33.9 
A,NEXEC,F,PC,BA	11.3 	13.5 	12.5 	: 
A,NEXEC,F,PC,BE	41.1 	42.5 	41.4 	40.3 
A,NEXEC,F,PC,BG	21.1 	14.0 	17.9 	18.6 
A,NEXEC,F,PC,CY	6.5 	7.2 	4.1 	8.7 
A,NEXEC,F,PC,CZ	23.3 	23.3 	26.2 	28.8 
A,NEXEC,F,PC,DE	36.0 	37.2 	38.7 	39.5 
A,NEXEC,F,PC,DK	34.9 	40.4 	41.7 	42.8 
A,NEXEC,F,PC,EE	9.1 	10.3 	12.0 	14.7 
A,NEXEC,F,PC,EL	24.7 	29.7 	32.8 	32.8 
A,NEXEC,F,PC,ES	37.3 	41.2 	44.4 	46.2 
A,NEXEC,F,PC,FI	35.2 	36.5 	38.2 	37.3 
A,NEXEC,F,PC,FR	47.9 	47.4 	48.2 	49.9 
A,NEXEC,F,PC,HR	23.6 	29.5 	32.0 	27.9 
A,NEXEC,F,PC,HU	11.8 	12.7 	11.8 	11.4 
A,NEXEC,F,PC,IE	35.7 	38.9 	43.9 	48.0 
A,NEXEC,F,PC,IS	47.1 	44.8 	43.1 	45.2 
A,NEXEC,F,PC,IT	45.2 	50.1 	49.2 	50.0 
A,NEXEC,F,PC,LT	24.4 	26.3 	25.9 	29.3 
A,NEXEC,F,PC,LU	28.8 	28.6 	26.8 	26.5 
A,NEXEC,F,PC,LV	22.2 	19.0 	23.9 	28.1 
A,NEXEC,F,PC,ME	20.3 	22.4 	19.0 	: 
A,NEXEC,F,PC,MK	21.3 	24.1 	30.0 	: 
A,NEXEC,F,PC,MT	11.6 	14.9 	18.1 	17.4 
A,NEXEC,F,PC,NL	38.6 	42.6 	42.4 	43.1 
A,NEXEC,F,PC,NO	41.5 	43.2 	43.1 	44.3 
A,NEXEC,F,PC,PL	24.7 	24.2 	27.2 	23.4 
A,NEXEC,F,PC,PT	40.0 	41.2 	43.8 	44.2 
A,NEXEC,F,PC,RO	19.4 	19.3 	24.5 	27.4 
A,NEXEC,F,PC,RS	23.7 	19.1 	19.5 	: 
A,NEXEC,F,PC,SE	39.9 	37.0 	38.4 	39.7 
A,NEXEC,F,PC,SI	20.6 	23.5 	23.4 	25.5 
A,NEXEC,F,PC,SK	27.7 	30.3 	25.0 	25.0 
A,NEXEC,F,PC,TR	20.3 	19.2 	20.8 	: 
A,NEXEC_EXEC,F,PC,AT	26.7 	27.0 	27.1 	28.5 
A,NEXEC_EXEC,F,PC,BA	17.2 	15.5 	19.6 	: 
A,NEXEC_EXEC,F,PC,BE	36.2 	38.5 	37.9 	37.0 
A,NEXEC_EXEC,F,PC,BG	20.0 	15.7 	17.5 	17.0 
A,NEXEC_EXEC,F,PC,CY	8.5 	10.2 	8.2 	11.4 
A,NEXEC_EXEC,F,PC,CZ	19.8 	17.8 	19.5 	22.2 
A,NEXEC_EXEC,F,PC,DE	30.7 	32.8 	34.4 	35.9 
A,NEXEC_EXEC,F,PC,DK	30.7 	33.6 	35.2 	35.6 
A,NEXEC_EXEC,F,PC,EE	16.5 	14.5 	14.6 	17.1 
A,NEXEC_EXEC,F,PC,EL	20.8 	24.1 	26.8 	27.2 
A,NEXEC_EXEC,F,PC,ES	32.6 	35.7 	39.5 	41.3 
A,NEXEC_EXEC,F,PC,FI	35.2 	36.5 	38.2 	37.3 
A,NEXEC_EXEC,F,PC,FR	44.5 	44.8 	45.8 	47.1 
A,NEXEC_EXEC,F,PC,HR	20.8 	26.5 	28.0 	25.3 
A,NEXEC_EXEC,F,PC,HU	9.3 	10.2 	10.4 	10.1 
A,NEXEC_EXEC,F,PC,IE	30.2 	33.7 	37.4 	41.0 
A,NEXEC_EXEC,F,PC,IS	47.1 	44.8 	42.4 	44.9 
A,NEXEC_EXEC,F,PC,IT	39.0 	43.0 	43.4 	44.6 
A,NEXEC_EXEC,F,PC,LT	23.6 	24.0 	23.6 	25.4 
A,NEXEC_EXEC,F,PC,LU	22.4 	23.4 	23.5 	22.8 
A,NEXEC_EXEC,F,PC,LV	23.3 	21.5 	25.7 	27.8 
A,NEXEC_EXEC,F,PC,ME	20.3 	25.4 	22.2 	: 
A,NEXEC_EXEC,F,PC,MK	23.7 	26.0 	29.9 	: 
A,NEXEC_EXEC,F,PC,MT	10.8 	15.5 	17.5 	17.1 
A,NEXEC_EXEC,F,PC,NL	32.7 	35.8 	36.6 	38.5 
A,NEXEC_EXEC,F,PC,NO	41.5 	43.2 	43.1 	44.3 
A,NEXEC_EXEC,F,PC,PL	20.7 	19.9 	22.3 	20.3 
A,NEXEC_EXEC,F,PC,PT	31.2 	33.5 	35.0 	34.8 
A,NEXEC_EXEC,F,PC,RO	19.6 	20.3 	24.5 	24.0 
A,NEXEC_EXEC,F,PC,RS	27.4 	25.3 	22.5 	: 
A,NEXEC_EXEC,F,PC,SE	37.9 	35.2 	36.6 	37.6 
A,NEXEC_EXEC,F,PC,SI	20.5 	23.7 	24.5 	24.5 
A,NEXEC_EXEC,F,PC,SK	25.9 	25.4 	24.1 	22.7 
A,NEXEC_EXEC,F,PC,TR	18.0 	17.3 	18.0 	: 
