freq,org_inst,sex,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,GOV_NAT,F,PC_WMN,AL	59.5 	43.8 	54.2 	: 
A,GOV_NAT,F,PC_WMN,AT	47.1 	44.4 	44.4 	43.8 
A,GOV_NAT,F,PC_WMN,BA	15.0 	16.7 	25.0 	: 
A,GOV_NAT,F,PC_WMN,BE	50.0 	55.0 	55.0 	55.0 
A,GOV_NAT,F,PC_WMN,BG	36.2 	40.3 	36.8 	38.4 
A,GOV_NAT,F,PC_WMN,CY	25.0 	16.7 	25.0 	16.7 
A,GOV_NAT,F,PC_WMN,CZ	28.6 	11.8 	11.1 	5.9 
A,GOV_NAT,F,PC_WMN,DE	40.8 	50.0 	48.1 	49.0 
A,GOV_NAT,F,PC_WMN,DK	30.0 	30.0 	36.4 	36.0 
A,GOV_NAT,F,PC_WMN,EE	46.7 	46.7 	38.5 	50.0 
A,GOV_NAT,F,PC_WMN,EL	15.5 	15.3 	24.2 	24.2 
A,GOV_NAT,F,PC_WMN,ES	46.9 	48.0 	46.0 	44.7 
A,GOV_NAT,F,PC_WMN,EU27_2020	33.5 	33.9 	35.2 	35.1 
A,GOV_NAT,F,PC_WMN,FI	55.9 	52.9 	72.4 	60.0 
A,GOV_NAT,F,PC_WMN,FR	51.2 	50.0 	50.0 	50.0 
A,GOV_NAT,F,PC_WMN,HR	27.8 	27.8 	22.2 	10.5 
A,GOV_NAT,F,PC_WMN,HU	20.0 	6.7 	0.0 	0.0 
A,GOV_NAT,F,PC_WMN,IE	25.7 	25.7 	28.6 	28.6 
A,GOV_NAT,F,PC_WMN,IS	45.5 	41.7 	50.0 	44.4 
A,GOV_NAT,F,PC_WMN,IT	43.1 	31.1 	29.7 	30.2 
A,GOV_NAT,F,PC_WMN,LI	50.0 	50.0 	50.0 	60.0 
A,GOV_NAT,F,PC_WMN,LT	43.8 	41.5 	45.3 	45.3 
A,GOV_NAT,F,PC_WMN,LU	29.4 	35.3 	29.4 	33.3 
A,GOV_NAT,F,PC_WMN,LV	28.6 	28.6 	34.5 	44.8 
A,GOV_NAT,F,PC_WMN,ME	30.8 	11.1 	21.7 	: 
A,GOV_NAT,F,PC_WMN,MK	16.7 	25.0 	27.8 	: 
A,GOV_NAT,F,PC_WMN,MT	11.5 	20.0 	20.0 	19.2 
A,GOV_NAT,F,PC_WMN,NL	30.4 	48.3 	53.6 	39.3 
A,GOV_NAT,F,PC_WMN,NO	47.7 	43.3 	47.2 	41.9 
A,GOV_NAT,F,PC_WMN,PL	19.4 	20.2 	20.6 	29.4 
A,GOV_NAT,F,PC_WMN,PT	37.1 	35.1 	36.2 	40.0 
A,GOV_NAT,F,PC_WMN,RO	7.1 	9.1 	30.0 	30.0 
A,GOV_NAT,F,PC_WMN,RS	45.8 	40.0 	37.9 	: 
A,GOV_NAT,F,PC_WMN,SE	50.0 	45.8 	45.8 	45.8 
A,GOV_NAT,F,PC_WMN,SI	25.4 	37.7 	40.9 	37.5 
A,GOV_NAT,F,PC_WMN,SK	20.0 	19.4 	14.6 	12.2 
A,GOV_NAT,F,PC_WMN,TR	5.3 	0.0 	5.3 	: 
A,GOV_NAT,F,PC_WMN,UK	33.1 	29.9 	26.2 	51.2 
A,GOV_NAT,F,PC_WMN,XK	27.0 	33.3 	18.6 	: 
A,PARL_NAT,F,PC_WMN,AL	35.7 	35.7 	35.7 	: 
A,PARL_NAT,F,PC_WMN,AT	41.6 	41.4 	42.4 	39.1 
A,PARL_NAT,F,PC_WMN,BA	24.6 	24.6 	21.1 	: 
A,PARL_NAT,F,PC_WMN,BE	43.8 	43.8 	42.9 	42.8 
A,PARL_NAT,F,PC_WMN,BG	24.6 	23.8 	24.8 	25.8 
A,PARL_NAT,F,PC_WMN,CY	14.3 	14.3 	14.3 	14.3 
A,PARL_NAT,F,PC_WMN,CZ	21.8 	23.0 	23.8 	24.3 
A,PARL_NAT,F,PC_WMN,DE	34.5 	35.1 	35.4 	35.5 
A,PARL_NAT,F,PC_WMN,DK	41.3 	42.5 	44.1 	44.7 
