freq,statinfo,unit,isced11,life_sat,sex,age,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,AL	5.7 	6.0 	6.3 	: 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,AT	8.0 	7.9 	7.8 	7.6 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,BE	7.5 	7.5 	7.6 	7.6 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,BG	5.6 	5.5 	5.8 	6.2 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,CH	7.9 	8.0 	7.8 	7.8 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,CY	6.7 	7.1 	7.4 	7.4 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,CZ	7.3 	7.4 	7.4 	7.4 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,DE	: u	6.6 u	7.0 u	7.0 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,DK	7.4 	7.7 	7.6 	7.6 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,EE	7.3 	7.2 	7.2 	7.1 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,EL	6.7 	6.7 	6.8 	6.6 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,ES	7.2 	7.1 	7.2 	7.2 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,FI	8.1 	7.9 	7.8 b	7.9 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,FR	6.7 u	6.9 bu	7.1 u	7.1 u
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,HR	6.8 	6.8 	7.0 b	7.1 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,HU	6.5 u	6.8 u	7.2 u	7.0 u
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,IE	7.2 	7.4 	7.5 	7.5 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,IT	7.1 	7.1 	7.2 	7.1 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,LT	6.9 	7.1 	7.2 	7.2 p
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,LU	7.4 	7.2 b	7.2 	7.2 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,LV	6.8 	6.8 	6.9 	7.0 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,ME	6.4 	5.8 b	6.6 	: 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,MK	5.7 b	5.3 	5.8 	6.2 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,MT	7.0 	7.3 	7.4 	7.5 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,NL	7.7 	7.7 	7.6 	7.7 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,NO	7.4 	7.7 	7.7 	7.6 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,PL	7.5 u	7.7 u	7.6 u	7.6 u
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,PT	: u	6.9 u	7.0 u	7.2 u
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,RO	7.6 	7.6 	7.7 	7.7 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,RS	5.9 	6.1 	6.3 	6.4 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,SE	7.6 	7.5 	7.5 	7.5 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,SI	7.6 	7.6 	7.7 b	7.7 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,SK	7.1 	7.0 	7.2 	7.3 
A,AVG,RTG,TOTAL,LIFE,F,Y_GE16,TR	5.6 	5.5 	5.7 	5.8 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,AL	5.7 	6.0 	6.3 	: 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,AT	8.0 	7.9 	7.6 	7.6 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,BE	7.6 	7.6 	7.7 	7.6 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,BG	5.8 	5.6 	5.9 	6.3 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,CH	7.8 	7.9 	7.8 	7.7 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,CY	6.8 	7.1 	7.5 	7.4 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,CZ	7.3 	7.4 	7.4 	7.4 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,DE	: u	6.5 u	7.0 u	7.0 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,DK	7.5 	7.6 	7.4 	7.5 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,EE	7.1 	7.1 	7.1 	7.0 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,EL	6.8 	6.8 	6.9 	6.8 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,ES	7.2 	7.1 	7.3 	7.2 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,FI	8.0 	7.9 	7.7 b	7.8 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,FR	6.9 u	7.0 bu	7.2 u	7.2 u
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,HR	6.9 	6.9 	7.2 b	7.3 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,HU	6.6 u	6.9 u	7.3 u	7.1 u
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,IE	7.3 	7.5 	7.7 	7.5 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,IT	7.2 	7.2 	7.3 	7.3 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,LT	7.0 	7.1 	7.1 	7.2 p
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,LU	7.4 	7.3 b	7.3 	7.3 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,LV	6.7 	6.8 	6.9 	6.9 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,ME	6.4 	5.9 b	6.6 	: 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,MK	5.7 b	5.4 	5.9 	6.2 
A,AVG,RTG,TOTAL,LIFE,M,Y_GE16,MT	7.1 	7.4 	7.4 	7.5 
