freq,reason,deg_urb,sex,age,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 	2025 
A,FEAR,DEG1,F,Y_GE16,PC,AL	0.2 	0.2 	: 	: 	: 
A,FEAR,DEG1,F,Y_GE16,PC,AT	0.4 	0.0 n	0.1 	0.1 	: 
A,FEAR,DEG1,F,Y_GE16,PC,BE	0.0 	0.1 	0.0 	0.1 	0.0 
A,FEAR,DEG1,F,Y_GE16,PC,BG	0.1 	0.1 	0.2 	0.1 	0.1 
A,FEAR,DEG1,F,Y_GE16,PC,CH	0.0 n	0.1 	0.1 	0.0 	: 
A,FEAR,DEG1,F,Y_GE16,PC,CY	0.1 	0.0 n	0.0 	0.0 	0.1 
A,FEAR,DEG1,F,Y_GE16,PC,CZ	0.1 	0.1 	0.2 	0.2 	0.0 
A,FEAR,DEG1,F,Y_GE16,PC,DE	0.1 	0.1 	0.0 n	0.1 	0.0 
A,FEAR,DEG1,F,Y_GE16,PC,DK	0.6 	0.7 	1.2 	0.7 	: 
A,FEAR,DEG1,F,Y_GE16,PC,EE	0.0 	0.0 	0.0 	0.1 	0.1 
A,FEAR,DEG1,F,Y_GE16,PC,EL	0.9 	0.2 	0.3 	0.2 	0.3 
A,FEAR,DEG1,F,Y_GE16,PC,ES	0.0 n	0.0 n	0.0 n	0.0 n	0.1 
A,FEAR,DEG1,F,Y_GE16,PC,FI	0.0 	0.1 	0.0 	0.0 	0.3 
A,FEAR,DEG1,F,Y_GE16,PC,FR	0.8 	0.4 b	0.4 	0.3 	: 
A,FEAR,DEG1,F,Y_GE16,PC,HR	0.9 	0.1 	0.0 b	0.0 n	0.0 
A,FEAR,DEG1,F,Y_GE16,PC,HU	0.2 	0.3 	0.0 n	0.1 	0.2 
A,FEAR,DEG1,F,Y_GE16,PC,IE	0.0 n	0.0 	0.0 	0.0 n	: 
A,FEAR,DEG1,F,Y_GE16,PC,IT	0.3 	0.1 	0.1 	0.0 n	0.0 
A,FEAR,DEG1,F,Y_GE16,PC,LT	0.0 	0.0 n	0.0 	0.0 n	: 
A,FEAR,DEG1,F,Y_GE16,PC,LU	0.0 b	0.1 b	0.0 	0.1 	: 
A,FEAR,DEG1,F,Y_GE16,PC,LV	0.1 	0.1 	0.1 	0.2 	0.2 
A,FEAR,DEG1,F,Y_GE16,PC,MK	0.1 b	0.0 n	0.0 n	: 	: 
A,FEAR,DEG1,F,Y_GE16,PC,MT	0.0 n	0.0 n	0.1 	0.1 	: 
A,FEAR,DEG1,F,Y_GE16,PC,NL	0.0 n	0.0 n	0.1 	0.0 n	0.1 
A,FEAR,DEG1,F,Y_GE16,PC,NO	0.1 b	0.3 	0.5 	0.4 	0.9 
A,FEAR,DEG1,F,Y_GE16,PC,PL	0.0 n	0.1 	0.1 	0.0 n	0.2 
A,FEAR,DEG1,F,Y_GE16,PC,PT	0.0 n	0.1 	0.2 	0.1 	0.0 
A,FEAR,DEG1,F,Y_GE16,PC,RO	0.8 	0.1 	0.2 	0.0 n	0.0 
A,FEAR,DEG1,F,Y_GE16,PC,RS	0.2 	0.2 	0.2 	0.7 	: 
A,FEAR,DEG1,F,Y_GE16,PC,SE	0.0 	0.3 	0.1 	0.3 	0.3 
A,FEAR,DEG1,F,Y_GE16,PC,SI	0.0 	0.0 	0.0 	0.2 	0.0 
A,FEAR,DEG1,F,Y_GE16,PC,SK	0.8 	0.1 	0.0 n	0.0 	: 
A,FEAR,DEG1,M,Y_GE16,PC,AL	0.1 	0.1 	: 	: 	: 
A,FEAR,DEG1,M,Y_GE16,PC,AT	0.0 	0.2 	0.0 	0.0 	: 
A,FEAR,DEG1,M,Y_GE16,PC,BE	0.0 	0.1 	0.2 	0.2 	0.1 
A,FEAR,DEG1,M,Y_GE16,PC,BG	0.1 	0.1 	0.0 n	0.0 	0.1 
A,FEAR,DEG1,M,Y_GE16,PC,CH	0.0 	0.0 n	0.0 	0.1 	: 
A,FEAR,DEG1,M,Y_GE16,PC,CY	0.1 	0.0 	0.0 	0.0 	0.0 
A,FEAR,DEG1,M,Y_GE16,PC,CZ	0.1 	0.1 	0.0 	0.1 	0.0 
A,FEAR,DEG1,M,Y_GE16,PC,DE	0.0 n	0.1 	0.0 n	0.0 n	0.0 
A,FEAR,DEG1,M,Y_GE16,PC,DK	0.7 	0.2 	0.7 	0.2 	: 
A,FEAR,DEG1,M,Y_GE16,PC,EE	0.0 	0.0 	0.0 	0.2 	0.2 
A,FEAR,DEG1,M,Y_GE16,PC,EL	0.8 	0.4 	0.4 	0.4 	0.3 
A,FEAR,DEG1,M,Y_GE16,PC,ES	0.0 n	0.0 n	0.0 n	0.0 n	0.0 
A,FEAR,DEG1,M,Y_GE16,PC,FI	0.0 	0.0 	0.3 	0.0 	0.0 
A,FEAR,DEG1,M,Y_GE16,PC,FR	0.5 	0.4 b	0.3 	0.2 	: 
A,FEAR,DEG1,M,Y_GE16,PC,HR	0.3 	0.1 	0.0 n	0.0 n	0.0 
A,FEAR,DEG1,M,Y_GE16,PC,HU	0.2 	0.0 	0.1 	0.0 	0.0 
A,FEAR,DEG1,M,Y_GE16,PC,IE	0.2 	0.1 	0.0 	0.0 	: 
A,FEAR,DEG1,M,Y_GE16,PC,IT	0.1 	0.0 	0.0 n	0.1 	0.0 
A,FEAR,DEG1,M,Y_GE16,PC,LT	0.0 	0.2 	0.0 	0.1 p	: 
A,FEAR,DEG1,M,Y_GE16,PC,LU	0.2 b	0.0 n	0.0 	0.0 	: 
A,FEAR,DEG1,M,Y_GE16,PC,LV	0.5 	0.3 	0.4 	0.5 	0.3 
A,FEAR,DEG1,M,Y_GE16,PC,MK	0.0 n	0.1 	0.1 	: 	: 
A,FEAR,DEG1,M,Y_GE16,PC,MT	0.0 n	0.0 	0.0 	0.0 	: 
A,FEAR,DEG1,M,Y_GE16,PC,NL	0.0 n	0.0 n	0.0 n	0.0 	0.1 
A,FEAR,DEG1,M,Y_GE16,PC,NO	0.0 b	0.0 	0.1 	0.1 	0.1 
A,FEAR,DEG1,M,Y_GE16,PC,PL	0.1 	0.1 	0.0 n	0.2 	0.2 
A,FEAR,DEG1,M,Y_GE16,PC,PT	0.2 	0.6 	0.4 	0.4 	0.2 
A,FEAR,DEG1,M,Y_GE16,PC,RO	0.7 	0.3 	0.6 	0.1 	0.0 
A,FEAR,DEG1,M,Y_GE16,PC,RS	0.1 	0.1 	0.4 	1.3 	: 
A,FEAR,DEG1,M,Y_GE16,PC,SE	0.2 	0.0 	0.3 	0.0 	0.0 
